cigar	雪茄
abbey	修道院
tangy	有刺激性的
panic	恐慌
solar	太阳能
shire	夏尔
proxy	代理
point	点
robot	机器人
prick	刺痛
wince	脸部肌肉的抽搐
crimp	褶
knoll	诺尔
sugar	糖
whack	不正常
mount	山
perky	活泼的
could	可以
wrung	拧
light	光
those	那些
moist	潮湿的
shard	碎片
pleat	褶
aloft	在空中
skill	技能
elder	老
frame	框架
humor	幽默
pause	暂停
ulcer	溃疡
ultra	超
robin	罗宾
cynic	愤世嫉俗者
aroma	香气
caulk	捻缝
shake	摇
pupal	蛹的
dodge	道奇
swill	泔水
tacit	隐性
other	其他
thorn	刺
trove	宝库
bloke	家伙
vivid	生动的
spill	泄漏
choke	窒息
rupee	卢比
nasty	令人讨厌的
mourn	哀悼
ahead	之前
brine	盐水
cloth	布
hoard	囤积
sweet	甜蜜的
month	月
lapse	失效
watch	看
today	今天
focus	焦点
smelt	胡瓜鱼
tease	取笑
cater	满足
movie	电影
lynch	林奇
allow	允许
renew	更新
their	他们的
slosh	泼
chest	胸部
depot	得宝
epoxy	环氧树脂
nymph	美丽的少女
found	发现
shall	应
harry	哈利
stove	炉子
lowly	卑微的
snout	鼻子
trope	比喻
fewer	更少的
shawl	披肩
fibre	纤维
comma	逗号
foray	尝试
scare	恐慌
stair	楼梯
black	黑色的
squad	队
royal	皇家
chunk	块
mince	矫揉做作地说
slave	奴隶
shame	羞愧
cheek	脸颊
ample	充足的
oxide	氧化
plant	植物
olive	橄榄
inert	惰性
askew	歪斜的
heist	抢劫
shown	所示
zesty	兴致很高的
hasty	匆忙的
trash	垃圾
fella	小伙子
forgo	放弃
story	故事
hairy	多毛的
train	火车
homer	荷马
badge	徽章
midst	中间
canny	精明的
fetus	胎儿
butch	布奇
farce	闹剧
slung	挂
tipsy	醉了
metal	金属
yield	收益率
delve	深入研究
being	被
scour	冲刷
glass	玻璃
scrap	废
money	钱
hinge	铰链
album	专辑
vouch	担保
asset	资产
tiara	头饰
crept	爬
bayou	河口
atoll	环礁
manor	庄园
creak	嘎吱嘎吱声
showy	艳丽的
phase	阶段
froth	泡沫
depth	深度
gloom	忧郁
flood	洪水
girth	周长
piety	虔诚
goose	鹅
float	浮动
donor	捐赠
atone	赎罪
apron	围裙
blown	吹
cacao	可可
loser	失败者
input	输入
gloat	幸灾乐祸
awful	可怕的
brink	边缘
smite	击杀
beady	起泡的
rusty	生锈的
retro	复古的
droll	滑稽可笑的人
gawky	笨拙的人
hutch	厨
gaily	快乐地
egret	白鹭
lilac	淡紫色
sever	切断
field	场
fluff	绒毛
hydro	水电
flack	长颈瓶
agape	神
wench	姑娘
voice	的声音
stead	代替
stalk	茎
berth	泊位
madam	夫人
night	晚上
bland	平淡无奇
liver	肝
wedge	楔
augur	预示着
roomy	宽敞的
wacky	古怪的
flock	群
angry	愤怒的
bobby	鲍比
trite	老套的
aphid	蚜虫
tryst	幽会
midge	蚊
power	权力
elope	私奔
cinch	有把握的事情
motto	的座右铭
stomp	跺脚
upset	心烦意乱
bluff	虚张声势
cramp	抽筋
coyly	害羞地
youth	青年
rhyme	押韵
buggy	车
alien	外星人
smear	涂片
unfit	不称职的
patty	帕蒂
cling	抓住
glean	收集
label	标签
hunky	匈牙利人
khaki	卡其色
poker	扑克
gruel	粥
twice	两次
twang	鼻音
shrug	耸耸肩
treat	治疗
unlit	不发光的
waste	浪费
merit	优点
woven	编织
octal	八进制
needy	有需要的
clown	小丑
widow	寡妇
irony	具有讽刺意味的
ruder	粗鲁的
gauze	纱布
chief	首席
onset	发病
prize	奖
fungi	真菌
charm	魅力
gully	沟
whoop	大叫
taunt	嘲讽
leery	狡猾的
class	类
theme	主题
lofty	崇高的
booze	酒
alpha	α
thyme	百里香
eclat	辉煌的成就
doubt	怀疑
stick	坚持
trice	瞬间
alike	都
sooth	真实的
recap	回顾
saint	圣
liege	列日
glory	荣耀
grate	炉篦
admit	承认
brisk	轻快的
soggy	沉闷的
usurp	篡夺
scald	烫伤
scorn	嘲笑
leave	离开
twine	线
sting	刺痛
bough	大树枝
marsh	沼泽
sloth	懒惰
dandy	花花公子
vigor	活力
howdy	你好
enjoy	享受
valid	有效的
ionic	离子
equal	平等的
unset	设置
floor	地板上
catch	抓
spade	铲
stein	斯坦
exist	存在
quirk	怪癖
denim	牛仔布
grove	格罗夫
spiel	演奏音乐
mummy	木乃伊
fault	的错
foggy	多雾的
flout	无视
carry	携带
sneak	偷偷摸摸的行为
libel	诽谤
waltz	华尔兹
aptly	恰当地
piney	似松的
inept	无能的
aloud	大声
photo	照片
dream	梦想
stale	不新鲜的
vomit	呕吐物
unite	团结起来
snarl	咆哮
baker	贝克
there	在那里
glyph	字形
hippy	嬉皮士
spell	拼写
folly	愚蠢
louse	虱子
gulch	峡谷
vault	库
godly	敬神的
threw	扔了
fleet	舰队
grave	坟墓
inane	空洞的
shock	冲击
crave	渴望
spite	尽管
valve	阀
skimp	吝啬
claim	索赔
rainy	多雨的
musty	发霉的
daddy	爸爸
arise	出现
aging	老化
opium	鸦片
avert	避免
stuck	卡住了
recut	再切
mulch	覆盖物
rifle	步枪
count	数
incur	承担
total	总计
wrest	夺取
study	研究
lover	情人
safer	更安全的
rivet	铆钉
funny	有趣的
smoke	烟
mound	丘
undue	过度的
sedan	轿车
swine	猪
guile	诡计
gusty	突发的
equip	装备
tough	艰难的
canoe	独木舟
chaos	混乱
covet	觊觎
human	人类
udder	乳房
lunch	午餐
blast	爆炸
stray	流浪
manga	漫画
melee	近战
lefty	左撇子
quick	快速
paste	粘贴
given	鉴于
octet	八隅体
risen	上升
groan	呻吟
leaky	漏水的
grind	磨
carve	雕刻
loose	宽松的
sadly	可悲的是
spilt	洒出的
apple	苹果
slack	松弛
honey	蜂蜜
final	最后
sheen	辛
eerie	怪异的
minty	有薄荷味的
slick	浮油
derby	德比
wharf	码头
spelt	拼写
coach	教练
erupt	爆发
price	价格
spawn	产卵
fairy	仙女
jiffy	瞬间
filmy	朦胧的
stack	堆栈
sleep	睡眠
nanny	保姆
niece	侄女
woozy	头昏眼花的
handy	方便的
grace	格蕾丝
ditto	同上
stank	发出恶臭
cream	奶油
usual	通常
diode	二极管
angle	角
ninja	忍者
muddy	泥泞的
chase	追逐
reply	回复
prone	倾向
spoil	破坏
heart	心
shade	阴影
diner	用餐者
arson	纵火
onion	洋葱
sleet	雨夹雪
dowel	销
couch	沙发上
palsy	麻痹
bowel	肠
smile	微笑
evoke	唤起
creek	溪
lance	兰斯
eagle	鹰
idiot	白痴
siren	塞壬
built	建
embed	嵌入
award	奖
dross	渣滓
annul	取消
goody	古蒂
frown	皱眉
patio	天井
laden	拉登
humid	潮湿的
elite	精英
lymph	淋巴
edify	陶冶
might	可能
reset	重置
visit	访问
purse	钱包
vapor	蒸汽
crock	缸
write	写
sunny	阳光明媚的
loath	不
chaff	糠
slide	幻灯片
queer	酷儿
venom	毒液
stamp	邮票
sorry	对不起
still	仍然
acorn	橡子
aping	模仿
pushy	有进取心的
hater	怀恨者
mania	躁狂
awoke	醒来
brawn	发达的肌肉
swift	斯威夫特
exile	流亡
birch	桦木
lucky	幸运的
freer	更自由的
risky	有风险的
ghost	鬼
lunar	月球
winch	绞车
snare	陷阱
nurse	护士
house	房子
borax	硼砂
nicer	更好的
lurch	倾斜
exalt	高举
about	关于
savvy	精明的
toxin	毒素
tunic	束腰外衣
pried	探究
inlay	镶嵌
chump	笨蛋
lanky	瘦长的
cress	水芹
eater	吃
elude	躲避
cycle	周期
kitty	基蒂
moron	白痴
tenet	宗旨
place	的地方
lobby	游说团体
plush	豪华的
vigil	守夜
index	指数
blink	眨眼
clung	在
qualm	疑虑
croup	臀部
clink	发出叮当声
juicy	多汁的
stage	阶段
decay	衰变
nerve	神经
flier	广告传单
shaft	轴
crook	骗子
clean	清洁
china	中国
ridge	脊
vowel	元音
snuck	偷偷
icing	糖衣
spiny	多刺的
rigor	严格
snail	蜗牛
flown	飞
rabid	患狂犬病的
prose	散文
thank	谢谢
poppy	罂粟
budge	让步
fiber	纤维
moldy	发霉的
dowdy	懒散的女人
kneel	跪
track	跟踪
caddy	球童
quell	平息
dumpy	矮胖的
paler	苍白
swore	发誓
rebar	钢筋
scuba	潜水
splat	长条木板
flyer	摩天观景轮
horny	角质
mason	梅森
doing	做
ozone	臭氧
amply	充分
ovary	卵巢
beset	困扰
queue	队列
cliff	悬崖
magic	魔法
truce	停火协议
sport	体育运动
fritz	弗里茨
edict	法令
twirl	旋转的东西
verse	节
eaten	吃
range	范围
whisk	搅拌
hovel	小屋
rehab	康复中心
macaw	金刚鹦鹉
sigma	σ
spout	滔滔不绝地讲
sushi	寿司
dying	死亡
fetid	恶臭的
brain	大脑
buddy	好友
thump	砰地撞到
scion	接穗
candy	糖果
chord	和弦
basin	盆地
march	3月
crowd	人群
arbor	阿伯
gayly	快乐地
musky	麝香的
stain	染色
dally	轻率地对待
bless	祝福
stung	刺痛
title	标题
ruler	统治者
kiosk	亭
blond	金发碧眼的
layer	层
fluid	流体
tatty	不值钱的
score	分数
cutie	漂亮的女孩
zebra	斑马
barge	驳船
matey	友好的
bluer	更蓝
shook	摇了摇
river	河
privy	有利害关系的人
betel	槟榔
frisk	快乐的时刻
bongo	邦戈
begun	开始
weave	织
genie	精灵
sound	声音
glove	手套
braid	编织
scope	范围
wryly	挖苦地
rover	探测器
assay	分析
ocean	海洋
bloom	布鲁姆
irate	愤怒的
later	晚些时候
rebut	反驳
adobe	土砖
delta	希腊字母表的第4个字母
moult	蜕皮
fixer	修理工
rouge	胭脂
masse	全体
champ	咀嚼
gripe	抱怨
banal	平庸的
gorge	峡
favor	赞成
agora	现在
chant	咏唱
saute	炒
purge	净化
natal	出生的
flair	天资
foyer	门厅
cargo	货物
larva	幼虫
gamer	玩家
trait	特质
payer	付款人
primo	普里莫
pinto	平托
quart	夸脱
inter	埋葬
tibia	胫骨
parer	帕勒
chute	溜槽
ombre	阴影
fanny	屁股
pooch	狗狗
pique	恼怒
quasi	准
valet	男仆
genre	体裁
plume	一缕
mocha	摩卡
deter	制止
pagan	异教徒
singe	烧焦
chose	选择
ardor	热情
valor	英勇
gusto	热情
tamer	驯服者
plier	弯曲
boule	布勒
gnome	侏儒
molar	臼齿
llama	火焰
verve	神韵
bravo	好极了
ennui	无聊
aider	帮助
azure	蔚蓝色的
woken	醒来
silky	丝一样的
wreck	沉船
dwelt	居住
slate	石板
smack	掴
solid	固体
amaze	令人惊奇
hazel	榛子
wrist	手腕
jolly	愉快的
globe	地球
flint	打火石
rouse	唤醒
civil	公民的
vista	远景
relax	放松
cover	掩蔽
alive	活着的
beech	山毛榉
jetty	码头
bliss	幸福
vocal	嗓音的
often	经常
dolly	多莉
eight	八
joker	小丑
since	自从
event	事件
ensue	接踵而至
shunt	移走
diver	潜水员
poser	难题
worst	最差的
sweep	打扫
alley	小巷
creed	信条
anime	动漫
leafy	枝繁叶茂
bosom	怀抱
dunce	笨蛋
stare	盯着看
pudgy	矮胖的
waive	放弃
choir	唱诗班
stood	站立
spoke	说话
outgo	支出
delay	延迟
bilge	舱底
ideal	完美的
clasp	扣环
seize	抓住
hotly	激动地
laugh	笑
sieve	滤器
block	块
meant	意味
grape	葡萄
noose	套索
hardy	能吃苦耐劳的
shied	惊退
drawl	慢吞吞地说
daisy	雏菊
putty	油灰
strut	趾高气昂地走
burnt	烧焦
tulip	郁金香
crick	克里克
idyll	田园诗
vixen	毒蛇
furor	狂怒
geeky	极客
cough	咳嗽
naive	缺乏经验的
shoal	鱼群
stork	鹳
bathe	洗澡
aunty	阿姨
check	检查
prime	首要的
brass	黄铜
outer	外面的
furry	毛茸茸的
razor	剃须刀
elect	选举
evict	驱逐
imply	意味着
demur	异议
quota	定额
haven	港口
cavil	无端抱怨
swear	发誓
crump	面包屑
dough	面团
gavel	木槌
wagon	马车
salon	沙龙
nudge	轻推
harem	后宫
pitch	抛
sworn	宣誓
pupil	学生
excel	擅长
stony	多石的
cabin	小屋
unzip	解开拉链
queen	女王
trout	鳟鱼
polyp	息肉
earth	世界
storm	暴风雨
until	直到
taper	变尖
enter	进来
child	小孩
adopt	采用
minor	少数的
fatty	富含脂肪的
husky	深沉沙哑的
brave	勇敢的
filet	鱼片
slime	粘液
glint	闪烁
tread	踩
steal	偷
regal	帝王的
guest	客人
every	每一个
murky	阴暗的
share	共有
spore	孢子
hoist	升起
buxom	丰满的
inner	内部的
otter	水獭
dimly	朦胧地
level	数量
sumac	漆树
donut	甜甜圈
stilt	高跷
arena	竞技场
sheet	床单
scrub	刷洗
fancy	设想
slimy	粘糊糊的
pearl	珍珠
silly	愚蠢的
porch	门廊
dingo	野狗
sepia	乌贼墨
amble	慢跑
shady	背阴的
bread	面包
friar	修士
reign	统治
dairy	乳品的
quill	羽毛笔
cross	交叉
brood	育雏
tuber	块茎
shear	剪羊毛
posit	假定
blank	空白的
villa	别墅
shank	长柄
piggy	小猪
freak	怪胎
which	哪一个
among	在…之间
fecal	粪便
shell	壳
would	将
algae	藻类
large	大的
rabbi	拉比
agony	极大的痛苦
amuse	娱乐
bushy	浓密的
copse	丛林
swoon	昏厥
knife	刀
pouch	小袋
ascot	阿斯科特
plane	飞机
crown	王冠
urban	城市的
snide	讽刺的
relay	转发
abide	遵守
viola	中提琴
rajah	国王
straw	稻草
dilly	迪利
crash	崩溃
amass	聚积
third	第三
trick	戏法
tutor	家庭教师
woody	伍迪
blurb	简介
grief	悲伤
disco	迪斯科
where	哪里
sassy	时髦的
beach	海滩
sauna	桑拿
comic	漫画
clued	抓住
creep	爬行
caste	种姓
graze	吃草
snuff	鼻烟
frock	连衣裙
gonad	性腺
drunk	醉的
prong	叉子
lurid	恐怖的
steel	钢
halve	减半
buyer	买主
vinyl	乙烯基
utile	有用的
smell	气味
adage	谚语
worry	担心
tasty	美味的
local	地方的
trade	贸易
finch	雀科小鸟
ashen	苍白的
modal	情态动词
gaunt	憔悴的
clove	丁香
enact	通过
adorn	装饰
roast	烤
speck	斑点
sheik	酋长
missy	米西
grunt	咕哝
snoop	窥探
party	政党
touch	触摸
mafia	黑手党
emcee	主持人
array	大堆
south	南方
vapid	乏味的
jelly	果冻
skulk	躲藏
angst	焦虑
tubal	输卵管的
lower	降低
crest	山顶
sweat	汗水
cyber	网络
adore	崇拜
tardy	迟缓的
swami	斯瓦米
notch	缺口
groom	新郎
roach	蟑螂
hitch	搭便车
young	幼小的
align	排列
ready	准备好的
frond	叶
strap	带子
puree	果泥
realm	领域
venue	地点
swarm	一大群
offer	提供
seven	七
dryer	烘干机
diary	记事簿
dryly	干巴巴的
drank	喝
acrid	辛辣的
heady	令人兴奋的
theta	西塔
junto	君托
pixie	小精灵
quoth	引用
bonus	奖金
shalt	将
penne	笔
amend	修正
datum	资料
build	建筑
piano	钢琴
shelf	架子
lodge	乡间小屋
suing	起诉
rearm	重新武装
coral	珊瑚
ramen	窗户
worth	值得的
psalm	诗篇
infer	推断
overt	公开的
mayor	市长
ovoid	卵形的
glide	滑行
usage	用法
poise	沉着自信
randy	兰迪
chuck	扔出
prank	玩笑
fishy	可疑的
tooth	牙齿
ether	乙醚
drove	开车
idler	惰轮
swath	斯瓦特
stint	吝啬
while	虽然
begat	生
apply	申请
slang	俚语
tarot	塔罗牌
radar	雷达
credo	信条
aware	意识到的
canon	原则
shift	转移
timer	计时器
bylaw	规章制度
serum	血清
three	三
steak	牛排
iliac	髂骨的
shirk	逃避
blunt	迟钝的
puppy	小狗
penal	刑罚的
joist	托梁
bunny	兔子
shape	形状
beget	导致
wheel	轮
adept	内行的
stunt	特技
stole	偷
topaz	黄玉
chore	家务活
fluke	侥幸
afoot	正在进行
bloat	膨胀
bully	恐吓
dense	稠密的
caper	跳跃
sneer	嘲笑
boxer	拳击手
jumbo	巨无霸
lunge	猛冲
space	空间
avail	效用
short	短的
slurp	发出啧啧的声音
loyal	忠诚的
flirt	调情
pizza	披萨
conch	海螺
tempo	速度
droop	下垂
plate	盘子
bible	圣经
plunk	扑通一声
afoul	冲突的
savoy	萨沃伊
steep	陡的
agile	敏捷的
stake	桩
dwell	居住
knave	无赖
beard	胡须
arose	出现
motif	动机
smash	粉碎
broil	烤
glare	怒目而视
shove	推
baggy	宽松的
mammy	奶妈
swamp	沼泽
along	沿着
rugby	橄榄球
wager	打赌
quack	江湖郎中
squat	蹲下
snaky	努力
debit	借记
mange	马槽
skate	滑冰
ninth	第九
joust	格斗
tramp	流浪汉
spurn	拒绝
medal	奖章
micro	微型的
rebel	背叛
flank	侧面
learn	学
nadir	最低点
maple	枫树
comfy	舒适的
remit	汇款
gruff	粗暴的
ester	酯
least	最小的
mogul	大亨
fetch	取来
cause	原因
oaken	橡树
aglow	发红
meaty	多肉的
gaffe	失礼
shyly	羞怯地
racer	赛车手
prowl	潜行
thief	贼
stern	船尾
poesy	诗歌
rocky	多石的
tweet	推特
waist	腰
spire	尖顶
grope	摸索
havoc	灾害
patsy	帕西
truly	真正地
forty	四十
deity	神
uncle	叔叔
swish	沙沙声
giver	给予者
preen	精心修饰
bevel	斜面
lemur	狐猴
draft	草稿
slope	斜坡
annoy	惹恼
lingo	术语
bleak	凄凉的
ditty	小调
curly	卷曲的
cedar	雪松
dirge	哀歌
grown	成年的
horde	部落
drool	流口水
shuck	脱壳
crypt	地窖
cumin	孜然
stock	股票
gravy	肉汁
locus	发生地
wider	更广的
breed	繁殖
quite	相当地
chafe	擦痛
cache	隐藏物
blimp	小型软皮艇
deign	屈尊
fiend	恶魔
logic	思维方式
cheap	花钱少的
elide	伊莱德
rigid	固执的
false	错误的
renal	肾的
pence	便士
rowdy	吵闹的
shoot	射击
blaze	火焰
envoy	特使
posse	一群
brief	简明的
never	从不
abort	中止
mouse	老鼠
mucky	肮脏的
sulky	生闷气的
fiery	火一般的
media	媒体
trunk	大旅行箱
yeast	酵母
clear	清楚的
skunk	臭鼬
scalp	头皮
bitty	比特
cider	苹果汁
koala	树袋熊
duvet	羽绒被
segue	塞格
creme	乳酪
super	超级的
grill	烤架
after	之后
owner	物主
ember	余烬
reach	达到
nobly	高贵的
empty	空的
speed	速度
gipsy	吉卜赛人
recur	重现
smock	工作服
dread	恐惧
merge	合并
burst	爆发
kappa	卡帕
amity	和睦
shaky	摇摇欲坠的
hover	悬停
carol	颂歌
snort	用鼻子哼哼
synod	会议
faint	昏倒
haunt	困扰
flour	面粉
chair	椅子
detox	排毒
shrew	悍妇
tense	紧张的
plied	使用
quark	夸克
burly	结实的
novel	小说
waxen	蜡质的
stoic	坚忍的
jerky	急促而不流畅的
blitz	闪电战
beefy	强壮的
lyric	抒情的
hussy	娘娘腔
towel	毛巾
quilt	被子
below	在下面
bingo	答对 了
wispy	纤细的
brash	自以为是的
scone	烤饼
toast	干杯
easel	画架
saucy	俏皮的
value	价值
spice	香料
honor	荣誉
route	路线
sharp	锋利的
bawdy	说黄色笑话的
radii	半径
skull	颅骨
phony	伪造的
issue	问题
lager	啤酒
swell	膨胀
urine	尿
gassy	瓦斯
trial	试验
flora	植物群
upper	上面的
latch	门闩
wight	怀特
brick	砖
retry	重试
holly	冬青
decal	贴花
grass	草
shack	简陋的小屋
dogma	教义
mover	搬运工
defer	推迟
sober	未醉
optic	视觉的
crier	叫喊者
vying	竞争
nomad	游牧民族
flute	长笛
hippo	河马
shark	鲨鱼
drier	干燥器
obese	肥胖的
bugle	号角声
tawny	茶色的
chalk	粉笔
feast	盛宴
ruddy	红润的
pedal	踏板
scarf	围巾
cruel	残酷的
bleat	咩咩叫
tidal	潮汐的
slush	泥浆
semen	精液
windy	多风的
dusty	尘土飞扬
sally	俏皮话
igloo	雪块砌成的圆顶小屋
nerdy	书呆子
jewel	珠宝
shone	闪耀
whale	鲸鱼
hymen	处女膜
abuse	滥用
fugue	赋格曲
elbow	肘部
crumb	面包屑
pansy	三色堇
welsh	威尔士的
syrup	糖水
terse	简短生硬的
suave	世故的
gamut	全范围
swung	摆动
drake	公鸭
freed	释放
afire	着火
shirt	衬衫
grout	薄泥浆
oddly	奇怪地
tithe	什一税
plaid	格子呢
dummy	笨蛋
broom	扫把
blind	失明的
torch	手电筒
enemy	敌人
again	再一次
tying	捆绑
pesky	讨厌的
alter	改变
gazer	凝视者
noble	高尚的
ethos	风气
bride	新娘
extol	歌颂
decor	装饰
hobby	爱好
beast	野兽
idiom	习语
utter	说
these	这些
sixth	第六
alarm	惊恐
erase	擦除
elegy	挽诗
spunk	勇气
piper	风笛手
scaly	有鳞屑的
scold	责骂
hefty	巨大的
chick	小鸡
sooty	乌黑的
canal	运河
whiny	发牢骚
slash	斜线
quake	发抖
joint	共同的
swept	扫
prude	谈性色变者
heavy	重的
wield	挥舞
femme	女人
lasso	套索
maize	玉米
shale	页岩
screw	螺丝钉
spree	狂欢
smoky	烟雾弥漫
whiff	一点儿气味
scent	气味
glade	林间空地
spent	花费
prism	棱镜
stoke	激起
riper	成熟的
orbit	轨道
cocoa	热可可
guilt	内疚
humus	腐殖质
shush	嘘
table	桌子
smirk	傻笑
wrong	错误的
noisy	吵闹的
alert	警觉的
shiny	闪亮的
elate	兴高采烈
resin	树脂
whole	整体
hunch	预感
pixel	像素
polar	极地的
hotel	酒店
sword	剑
cleat	夹板
mango	芒果
rumba	伦巴
puffy	浮肿的
filly	雌马
billy	比利
leash	皮带
clout	影响力
dance	跳舞
ovate	卵形
facet	方面
chili	辣椒
paint	油漆
liner	邮轮
curio	古董
salty	咸咸的
audio	音频
snake	蛇
fable	寓言
cloak	斗篷
navel	肚脐
spurt	喷发
pesto	香蒜酱
balmy	温和的
flash	闪光
unwed	未婚
early	早期的
churn	搅动
weedy	杂草
stump	树墩
lease	租赁
witty	言辞诙谐的
wimpy	懦弱的
spoof	恶作剧
saner	桑斯
blend	混合
salsa	萨尔萨
thick	厚的
warty	疣
manic	躁狂的
blare	发出响亮而刺耳的声音
squib	哑炮
spoon	勺子
probe	探查
crepe	绉纱
knack	技能
force	武力
debut	首次亮相
order	顺序
haste	急速
teeth	牙齿
agent	代理人
widen	拓宽
icily	冷冰冰的
slice	片
ingot	铸块
clash	冲突
juror	陪审团成员
blood	血
abode	住所
throw	投
unity	团结一致
pivot	支点
slept	睡
troop	队伍
spare	不用的
sewer	污水管
parse	作语法分析
morph	变形
cacti	仙人掌
tacky	俗气的
spool	线轴
demon	魔鬼
moody	喜怒无常
annex	附件
begin	开始
fuzzy	模糊的
patch	色斑
water	水
lumpy	笨重的
admin	管理
omega	欧米茄
limit	限度
tabby	斑猫
macho	男子气概
aisle	过道
skiff	小船
basis	原因
plank	木板
verge	边缘
botch	笨蛋
crawl	爬行
lousy	糟糕的
slain	杀死
cubic	立方体的
raise	提升
wrack	沉船
guide	指导
foist	把……强加
cameo	精彩片段
under	在下面
actor	男演员
revue	时事讽刺歌舞剧
fraud	欺诈
harpy	哈比
scoop	勺
climb	攀登
refer	参考
olden	古老的
clerk	店员
debar	德巴尔
tally	计数
ethic	伦理
cairn	凯恩
tulle	薄纱
ghoul	食尸鬼
hilly	多小山的
crude	原油
apart	分开地
scale	规模
older	更老的
plain	平原
sperm	精子
briny	多盐分的
abbot	方丈
rerun	重播
quest	探索
crisp	脆的
bound	跳跃
befit	适合
drawn	绘制
suite	一套
itchy	发痒的
cheer	欢呼
bagel	百吉饼
guess	猜测
broad	宽阔的
axiom	公理
chard	查德
caput	卡普特
leant	倾斜的
harsh	严厉的
curse	诅咒
proud	自豪的
swing	摆动
opine	认为
taste	味道
lupus	狼疮
gumbo	秋葵
miner	矿工
green	绿色
chasm	裂缝
lipid	脂质
topic	话题
armor	盔甲
brush	刷子
crane	起重机
mural	壁画
abled	能干的
habit	习惯
bossy	专横的
maker	制造商
dusky	昏暗的
dizzy	头晕的
lithe	柔韧性好的
brook	溪
jazzy	爵士乐的
fifty	五十
sense	感觉
giant	巨人
surly	脾气坏的
legal	合法的
fatal	致命的
flunk	不及格
began	开始
prune	修剪
small	小的
slant	倾斜
scoff	嘲笑
torus	环面
ninny	傻子
covey	科维
viper	毒蛇
taken	拿
moral	道德的
vogue	时尚
owing	未付的
token	代币
entry	进入
booth	售货棚
voter	选民
chide	责骂
elfin	精灵
ebony	乌木制的
neigh	嘶叫
minim	极小值
melon	甜瓜
kneed	跪下
decoy	动物
voila	给你。
ankle	踝关节
arrow	箭
mushy	糊状的
tribe	部落
cease	停止
eager	渴望的
birth	出生
graph	图表
odder	古怪的
terra	泰拉
weird	奇怪的
tried	尝试
clack	咔哒声
color	颜色
rough	粗糙的
weigh	权衡
uncut	未切割
ladle	长柄勺
strip	带
craft	手艺
minus	减
dicey	危险的
titan	泰坦
lucid	清醒的
vicar	牧师
dress	连衣裙
ditch	沟
gypsy	吉普赛人
pasta	意大利面食
taffy	太妃糖
flame	火焰
swoop	俯冲
aloof	冷漠的
sight	景象
broke	打破了
teary	泪流满面
chart	图表
sixty	六十
